"","StartDate","EndDate","Status","IPAddress","Progress","Duration__in_seconds","Finished","RecordedDate","ResponseId","RecipientLastName","RecipientFirstName","RecipientEmail","ExternalReference","LocationLatitude","LocationLongitude","DistributionChannel","UserLanguage","IC","AgeG","Timer_1_Vignette_First_Click","Timer_1_Vignette_Last_Click","Timer_1_Vignette_Page_Submit","Timer_1_Vignette_Click_Count","AC1","Ch_LoEf_1","Ch_LoEf_2","Ch_LoEf_3","Ch_LoEf_4","Ch_LoEf_5","Ch_LoEf_6","Ch_LoEf_7","Ch_LoEf_8","Ch_LoEf_9","Ch_LoEf_10","Ch_LoEf_11","Ch_LoEf_12","Ch_LoEf_13","Ch_LoEf_14","Ch_LoEf_15","Ch_HiEf_1","Ch_HiEf_2","Ch_HiEf_3","Ch_HiEf_4","Ch_HiEf_5","Ch_HiEf_6","Ch_HiEf_7","Ch_HiEf_8","Ch_HiEf_9","Ch_HiEf_10","Ch_HiEf_11","Ch_HiEf_12","Ch_HiEf_13","Ch_HiEf_14","Ch_HiEf_15","Ef_LoEf","Ef_HiEf","Qu_LoEf","Qu_HiEf","Dif_LoEf","Dif_HiEf","Val_LoEf","Val_HiEf","AC2","Sal_LoEf_1","Sal_HiEf_1","FW1","FW2","FW3","FW4","FW5","FW6","Age","Gen","Gen_3_TEXT","Nat","Cou","Lan","Edu","Lad","FB","SC0"
"1",2024-06-27 05:09:09,2024-06-27 05:12:23,0,"85.255.31.173",100,193,1,2024-06-27 05:12:23,"R_815yfUsD2jcqCQx",NA,NA,NA,NA,52.3759,4.8975,"anonymous","EN",1,1,0,0,36.45,0,3,4,3,3,3,4,4,3,3,3,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,1,4,4,4,4,4,4,4,4,65,65,3,3,3,3,3,3,22,2,NA,"qalitu",1,2,3,6,NA,178
"2",2024-06-27 07:03:22,2024-06-27 07:12:42,0,"187.190.230.228",100,559,1,2024-06-27 07:12:42,"R_7Lj7LHEKSfGv1OF",NA,NA,NA,NA,19.3856,-99.0891,"anonymous","EN",1,1,10.11,41.877,52.401,5,7,5,4,5,4,5,7,6,4,6,5,6,4,6,5,6,6,6,7,7,7,5,5,6,7,6,7,7,6,7,6,5,7,6,6,3,4,6,6,1,65,65,2,1,1,4,5,5,22,1,NA,"Mexican",1,1,9,6,NA,261
"3",2024-06-27 07:32:50,2024-06-27 07:41:35,0,"189.203.132.69",100,524,1,2024-06-27 07:41:38,"R_7j2ubIGUyywKVff",NA,NA,NA,NA,19.4321,-99.0693,"anonymous","EN",1,2,103.169,103.169,104.561,1,7,5,5,6,6,6,7,6,6,7,4,6,5,5,2,5,7,5,6,7,6,6,6,7,7,6,6,7,5,7,6,4,7,6,6,3,5,6,6,1,65,65,2,2,4,6,5,4,38,1,NA,"mexicano",1,1,10,6,NA,270
"4",2024-06-27 12:29:55,2024-06-27 12:41:12,0,"189.169.117.67",100,677,1,2024-06-27 12:41:13,"R_1A1jGz0A4vD3svD",NA,NA,NA,NA,20.4731,-100.7996,"anonymous","EN",1,2,8.84,65.92,65.945,7,7,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,3,4,3,7,3,3,4,4,4,4,4,4,5,4,4,6,6,6,4,4,7,7,1,65,65,5,5,3,4,5,4,31,2,NA,"Mexicana",1,1,9,7,NA,222
"5",2024-06-27 18:38:22,2024-06-27 18:45:37,0,"187.132.238.217",100,434,1,2024-06-27 18:45:37,"R_1909Xkcp9OwfO1t",NA,NA,NA,NA,20.9716,-89.6413,"anonymous","EN",1,1,0,0,30.327,0,7,6,4,3,7,6,7,5,7,6,7,5,5,6,6,4,4,6,5,5,7,3,4,6,4,7,7,5,5,5,6,4,6,6,7,4,5,7,7,1,80,80,5,5,4,5,7,7,23,1,NA,"Mexicano",1,1,8,4,NA,266
"6",2024-06-27 21:50:35,2024-06-27 21:54:12,0,"189.148.246.201",100,217,1,2024-06-27 21:54:13,"R_6sZ0Jhq1K7YIyR3",NA,NA,NA,NA,15.0167,-92.2198,"anonymous","EN",1,2,0,0,24.1,0,6,6,7,7,6,6,6,7,6,7,6,6,7,6,6,6,6,6,6,6,7,6,6,6,7,6,6,6,7,7,6,5,6,5,6,5,5,7,6,6,70,70,6,6,7,7,6,5,34,1,NA,"mexicana",1,1,6,6,"exelente",300
"7",2024-06-28 00:27:38,2024-06-28 00:35:15,0,"201.130.218.143",100,456,1,2024-06-28 00:35:16,"R_1EX2RtH9NoSwusd",NA,NA,NA,NA,23.4078,-106.3163,"anonymous","EN",1,1,2.259,45.932,47.176,10,7,4,1,1,3,4,4,4,1,4,3,1,4,4,4,4,7,4,4,7,4,4,4,4,6,4,6,7,4,4,6,2,7,7,7,4,4,6,6,1,65,65,1,1,7,4,7,4,23,2,NA,"mexicana",1,1,6,4,NA,211
"8",2024-06-28 10:42:44,2024-06-28 10:44:50,0,"186.106.175.92",100,125,1,2024-06-28 10:44:51,"R_1q3NTWVyd2DcYHD",NA,NA,NA,NA,-33.4521,-70.6536,"anonymous","EN",1,3,0,0,23.03,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,3,4,4,60,60,4,4,4,4,4,4,99,3,"test","test",1,2,11,5,NA,177
"9",2024-06-28 12:00:24,2024-06-28 12:10:22,0,"200.68.168.59",100,597,1,2024-06-28 12:10:23,"R_56Ek1aIy3L9gvlf",NA,NA,NA,NA,20.6574,-100.4148,"anonymous","EN",1,2,31.948,49.874,54.436,3,7,7,4,4,7,7,7,7,7,4,4,1,7,4,7,4,7,4,4,4,7,1,4,7,4,4,4,4,4,7,4,4,7,7,7,4,4,7,7,1,75,75,7,7,7,7,4,4,39,2,NA,"Mexicana",1,1,10,5,"Ninguno",262
"10",2024-06-28 12:43:47,2024-06-28 12:59:47,0,"189.203.132.29",100,960,1,2024-06-28 12:59:48,"R_3X4cfLBqODJ0bhT",NA,NA,NA,NA,19.4594,-99.097,"anonymous","EN",1,3,122.691,122.691,126.601,1,7,7,6,6,7,7,7,6,7,6,6,6,7,7,6,6,6,6,6,6,7,7,6,6,6,6,6,7,7,6,6,1,7,7,7,1,4,7,7,1,60,60,5,5,1,6,7,7,46,2,NA,"Mexicana",1,1,9,8,NA,295
