StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,Age_Group,Timer_1_Vignette_First_Click,Timer_1_Vignette_Last_Click,Timer_1_Vignette_Page_Submit,Timer_1_Vignette_Click_Count,AC1,Ch_LoEf_1,Ch_LoEf_2,Ch_LoEf_3,Ch_LoEf_4,Ch_LoEf_5,Ch_LoEf_6,Ch_LoEf_7,Ch_LoEf_8,Ch_LoEf_9,Ch_LoEf_10,Ch_LoEf_11,Ch_LoEf_12,Ch_LoEf_13,Ch_LoEf_14,Ch_LoEf_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,Ef_LoEf,Ef_HiEf,Qu_LoEf,Qu_HiEf,Dif_LoEf,Dif_HiEf,Val_LoEf,Val_HiEf,AC2,Sal_LoEf_1,Sal_HiEf_1,FW1,FW2,FW3,FW4,FW5,FW6,Age,Gen,Gen_3_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-03-08 11:35:46,2024-03-08 11:35:46,2,,100,0,1,2024-03-08 11:35:46,R_e4ofw6csA0rxqCi,,,,,,,test,,1,3,7.04,9.07,7.51,7,5,7,3,5,5,1,1,2,5,5,6,1,3,2,4,2,7,2,5,5,7,5,6,6,3,6,4,3,5,4,4,6,5,3,6,6,2,7,2,3,7,11,6,6,7,4,1,5,54,4,,TEXT,TEXT,4,4,1,Cursus justo ullamcorper non ridiculus quis fringilla commodo accumsan malesuada.,215
2024-03-08 11:35:46,2024-03-08 11:35:46,2,,100,0,1,2024-03-08 11:35:46,R_39JLSEEYqhU3Doy,,,,,,,test,,1,1,1.03,5.17,2.05,36,2,6,4,3,6,2,2,2,2,6,4,4,6,2,2,2,4,7,1,2,7,7,3,1,5,6,6,2,1,7,6,6,6,4,5,5,7,6,2,1,17,11,7,2,7,7,4,5,74,3,"Nunc rutrum mi, quis vulputate elementum lacus cursus iaculis. Sodales.",TEXT,TEXT,2,9,6,Culpa platea platea neque eleifend lectus faucibus id? Dui ultrices malesuada faucibus.,216
2024-03-08 11:35:46,2024-03-08 11:35:46,2,,100,0,1,2024-03-08 11:35:46,R_dcaZ2lj7Reritbo,,,,,,,test,,1,2,1.4,4.3,6.48,48,4,5,3,2,3,3,6,7,1,4,5,5,7,2,4,7,5,4,7,4,7,4,3,6,5,2,7,3,3,3,3,7,5,7,1,5,4,7,4,5,7,12,5,6,6,6,4,6,108,3,"Gravida rutrum porta ante bibendum est eget neque atque elit, curabitur urna non nulla! Non.",TEXT,TEXT,2,5,4,"Culpa posuere aenean. Potenti vitae ut? Interdum facilisis vel nonummy diam, vel.",229
2024-03-08 11:35:46,2024-03-08 11:35:46,2,,100,0,1,2024-03-08 11:35:47,R_d3ZzAFBdBIlTp8G,,,,,,,test,,1,1,1.79,2.69,7.94,38,4,2,1,1,5,1,5,4,2,3,6,3,4,3,5,5,1,7,4,5,3,3,6,3,1,7,1,3,2,7,7,6,3,7,5,7,3,7,6,4,8,14,4,1,3,7,6,3,97,2,,TEXT,TEXT,3,6,9,Wisi nunc auctor mi mattis dapibus gravida nunc? Sapien imperdiet dignissim.,208
2024-03-08 11:35:47,2024-03-08 11:35:47,2,,100,0,1,2024-03-08 11:35:47,R_8iYXyhxjZmIIi2O,,,,,,,test,,1,2,6.33,8.48,9.04,33,7,1,2,1,7,4,3,1,4,2,6,7,4,7,6,7,5,6,6,5,2,3,2,2,6,7,1,3,5,5,2,7,2,3,5,7,7,4,2,6,11,8,6,7,1,1,2,4,110,4,,TEXT,TEXT,3,6,1,Elementum ultricies natoque. Ligula leo massa? Urna enim ultricies sem? Lorem. Consectetuer pretium. Egestas.,210
2024-03-08 11:35:47,2024-03-08 11:35:47,2,,100,0,1,2024-03-08 11:35:47,R_3EhaJndTeSLquuW,,,,,,,test,,1,3,4,7.76,8.3,38,1,6,5,6,5,6,3,1,4,7,4,5,6,1,5,5,7,2,4,7,4,6,1,7,5,5,1,2,2,1,4,5,1,1,2,3,6,3,5,1,7,17,6,4,4,7,5,7,49,2,,TEXT,TEXT,1,2,9,Consectetuer malesuada sit commodo! Non ultrices dictumst nonummy tellus tincidunt.,206
2024-03-08 11:35:47,2024-03-08 11:35:47,2,,100,0,1,2024-03-08 11:35:47,R_2r8NkgzgSCKnCAu,,,,,,,test,,1,4,3.31,5.75,6.67,36,5,3,3,7,5,2,7,1,7,2,7,3,3,7,2,3,2,5,3,6,2,2,7,5,3,2,3,4,6,4,3,1,3,3,6,4,4,2,4,1,7,16,1,4,1,1,1,5,90,2,,TEXT,TEXT,2,6,9,"Massa convallis tempora nullam gravida commodo purus, metus orci? Accumsan interdum ipsum facilisi luctus.",189
2024-03-08 11:35:48,2024-03-08 11:35:48,2,,100,0,1,2024-03-08 11:35:48,R_03pCsn09gZwHsGO,,,,,,,test,,1,1,5.38,6.69,8.82,33,5,4,7,3,5,5,1,4,5,4,4,2,4,4,5,6,5,2,7,4,4,4,6,1,3,3,1,7,4,5,2,6,2,2,1,2,2,6,4,3,16,9,2,6,1,2,4,2,92,4,,TEXT,TEXT,3,9,7,Porta enim. Rhoncus ligula suscipit mauris dignissim montes elementum. Vitae.,196
2024-03-08 11:35:48,2024-03-08 11:35:48,2,,100,0,1,2024-03-08 11:35:48,R_dg1yGPLUfhDk6fI,,,,,,,test,,1,4,3.86,4.47,6.58,4,5,3,2,3,2,1,7,3,3,3,6,4,2,4,5,4,6,6,1,6,7,5,1,3,4,1,5,3,7,1,7,4,1,4,2,1,6,4,6,3,15,13,6,2,5,1,6,5,103,1,,TEXT,TEXT,2,7,3,"Scelerisque ullamcorper. Faucibus. Ut curabitur eros accumsan, montes faucibus, elit porttitor. Lacus ac sapien.",194
2024-03-08 11:35:48,2024-03-08 11:35:48,2,,100,0,1,2024-03-08 11:35:48,R_0oJhJyPNhCxuaJE,,,,,,,test,,1,3,3.93,6.55,4.31,19,3,7,6,6,4,4,3,5,2,1,4,3,1,1,3,6,5,7,3,2,3,1,1,2,2,4,3,3,6,7,3,7,3,3,3,2,1,5,7,1,15,7,1,5,2,7,5,6,53,3,Dictumst tincidunt morbi volutpat! Ullamcorper. Bibendum tincidunt arcu vel atque vestibulum maecenas at lectus.,TEXT,TEXT,4,8,1,Porta rhoncus sollicitudin! Sollicitudin vulputate convallis fermentum. Vulputate? Suscipit! Risus proin porta.,189
