StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,AgeG,Timer_1_Vignette_First_Click,Timer_1_Vignette_Last_Click,Timer_1_Vignette_Page_Submit,Timer_1_Vignette_Click_Count,AC1,Ch_LoEf_1,Ch_LoEf_2,Ch_LoEf_3,Ch_LoEf_4,Ch_LoEf_5,Ch_LoEf_6,Ch_LoEf_7,Ch_LoEf_8,Ch_LoEf_9,Ch_LoEf_10,Ch_LoEf_11,Ch_LoEf_12,Ch_LoEf_13,Ch_LoEf_14,Ch_LoEf_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,Ef_LoEf,Ef_HiEf,Qu_LoEf,Qu_HiEf,Dif_LoEf,Dif_HiEf,Val_LoEf,Val_HiEf,AC2,Sal_LoEf_1,Sal_HiEf_1,FW1,FW2,FW3,FW4,FW5,FW6,Age,Gen,Gen_4_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-03-08 11:35:26,2024-03-08 11:35:26,2,,100,0,1,2024-03-08 11:35:26,R_b91O1B3Kuh92Vzo,,,,,,,test,,1,2,7.48,8.05,7.85,14,1,7,2,1,2,2,2,3,6,3,7,2,5,6,6,7,1,1,5,6,3,3,3,2,3,1,5,3,1,6,7,3,1,5,7,4,4,7,2,6,17.5,15,2,5,3,6,3,4,53,2,,TEXT,TEXT,2,4,1,Lorem morbi ab? Ipsum dui accumsan cursus magnis integer dignissim. Phasellus.,185
2024-03-08 11:35:26,2024-03-08 11:35:26,2,,100,0,1,2024-03-08 11:35:26,R_0CEB9E1kmfzHtXw,,,,,,,test,,1,1,3.54,3.94,9.49,12,6,1,5,7,3,3,2,1,4,2,6,3,7,2,5,7,7,5,5,4,4,1,5,2,1,6,7,3,2,2,6,1,5,1,3,2,5,7,2,3,15,13.75,3,3,3,1,4,6,66,1,,TEXT,TEXT,4,6,1,Imperdiet mattis? Facilisi? Suspendisse sed cras! Dictumst? Proin dui arcu.,186
2024-03-08 11:35:26,2024-03-08 11:35:26,2,,100,0,1,2024-03-08 11:35:27,R_2idSrZnX9K6rpqu,,,,,,,test,,1,1,7.69,9.68,8,21,6,4,2,4,6,2,4,7,7,2,7,2,1,6,1,4,1,6,6,4,5,2,7,2,3,2,1,2,5,3,3,3,5,1,6,7,2,7,6,6,15,13.75,7,7,7,7,7,4,102,1,,TEXT,TEXT,3,5,3,Ridiculus maecenas. Temporibus consectetuer iaculis egestas culpa nec ab natoque. Fermentum non luctus.,212
2024-03-08 11:35:27,2024-03-08 11:35:27,2,,100,0,1,2024-03-08 11:35:27,R_7VUmmz7klnbdFFs,,,,,,,test,,1,1,5.61,7.32,7.41,6,3,3,7,1,3,6,2,2,1,4,1,7,7,7,7,5,6,1,2,6,6,5,2,2,5,1,2,3,3,5,7,6,6,3,2,3,3,7,6,5,11.25,18.75,3,4,4,7,1,7,63,1,,TEXT,TEXT,1,9,2,Eu etiam fusce vitae vitae arcu lectus faucibus wisi sem culpa platea proin.,203
2024-03-08 11:35:27,2024-03-08 11:35:27,2,,100,0,1,2024-03-08 11:35:27,R_8xkjei2uqnLTYPQ,,,,,,,test,,1,1,1.8,3.06,2.27,1,3,6,4,5,6,5,7,2,4,2,3,4,6,4,6,2,3,4,2,1,1,7,3,4,4,2,7,1,7,1,3,4,3,1,3,6,6,5,4,4,8.75,21.25,7,4,5,6,6,5,85,1,,TEXT,TEXT,4,9,2,"Nec tortor ultricies. Consectetuer auctor risus lacus auctor? Aliquam natoque accusamus auctor magnis, integer.",205
2024-03-08 11:35:27,2024-03-08 11:35:27,2,,100,0,1,2024-03-08 11:35:27,R_b8jIvEdFs4dDzBY,,,,,,,test,,1,3,3.4,3.51,7.99,38,7,2,4,5,3,7,1,4,2,2,1,3,3,4,2,7,6,1,2,7,5,1,2,7,7,3,5,3,2,2,2,6,1,2,2,2,5,3,4,6,16.25,13.75,2,4,2,1,7,4,105,1,,TEXT,TEXT,1,3,8,Erat. Scelerisque ligula porttitor duis rhoncus convallis et nulla non? Posuere arcu.,179
2024-03-08 11:35:27,2024-03-08 11:35:27,2,,100,0,1,2024-03-08 11:35:28,R_80V2yMld1QjOcOG,,,,,,,test,,1,2,6.13,9.82,9.72,28,6,7,3,1,1,7,4,2,3,5,1,4,7,6,5,5,6,6,5,7,4,5,1,7,6,6,7,3,1,7,4,3,6,5,5,7,5,5,1,5,15,8.75,4,5,3,6,7,3,56,4,Neque aliquam a gravida ac leo magna pellentesque venenatis! Integer felis culpa auctor.,TEXT,TEXT,1,6,3,Tortor. In? Magnis magnis sollicitudin fusce molestie nunc sodales in magnis wisi convallis.,227
2024-03-08 11:35:28,2024-03-08 11:35:28,2,,100,0,1,2024-03-08 11:35:28,R_6VDyvfHOdJKivc2,,,,,,,test,,1,4,8.29,8.97,8.4,15,2,1,1,3,4,2,6,4,1,2,5,5,7,3,7,4,4,4,5,3,2,4,2,4,7,7,5,4,5,5,2,3,1,4,6,6,6,5,3,4,20,22.5,7,7,3,4,1,6,103,4,Justo sodales lorem. Temporibus ridiculus sem odio per platea? Facilisis eleifend.,TEXT,TEXT,3,8,7,"Molestie augue nibh tempus egestas, culpa sodales est? Proin, velit.",211
2024-03-08 11:35:28,2024-03-08 11:35:28,2,,100,0,1,2024-03-08 11:35:28,R_0VWyieWvcMHb4ea,,,,,,,test,,1,1,7.83,8.33,9.4,17,5,2,6,2,4,5,4,4,4,1,2,7,1,7,5,7,1,6,6,6,3,2,1,1,6,4,3,6,5,5,4,7,4,5,1,5,6,6,1,7,12.5,22.5,1,3,1,3,7,2,63,2,,TEXT,TEXT,3,5,6,Tempus duis suscipit massa vivamus. Porta atque pretium euismod! Dictumst in aenean urna per.,201
2024-03-08 11:35:28,2024-03-08 11:35:28,2,,100,0,1,2024-03-08 11:35:28,R_7V3NQ9Aj531hX26,,,,,,,test,,1,4,6.22,6.72,7.42,2,4,6,2,1,1,3,6,4,2,2,3,5,2,4,4,3,6,4,4,5,5,4,7,2,5,7,6,6,5,1,4,2,1,1,2,6,2,1,1,5,18.75,8.75,2,7,4,3,3,1,93,1,,TEXT,TEXT,2,2,8,Ut odio risus felis tempora pellentesque duis platea. Risus nulla.,181
2024-03-08 11:35:28,2024-03-08 11:35:29,2,,100,1,1,2024-03-08 11:35:29,R_0fedOdVc6DeAVBs,,,,,,,test,,1,1,6.83,9.59,9.24,29,5,1,6,2,7,1,7,7,6,3,7,1,3,5,7,5,7,4,2,3,5,4,1,2,4,1,1,5,1,2,6,2,3,1,1,2,6,1,3,5,22.5,10,6,4,6,7,1,1,48,1,,TEXT,TEXT,2,7,10,Faucibus. Sodales atque venenatis etiam. Quis arcu nec facilisi iaculis.,191
2024-03-08 11:35:29,2024-03-08 11:35:29,2,,100,0,1,2024-03-08 11:35:29,R_5mtRLwmovgjSmrQ,,,,,,,test,,1,2,4.17,4.28,8.12,22,1,6,6,5,2,5,1,1,5,1,7,6,1,1,5,6,1,2,4,4,1,6,4,6,3,3,6,6,6,2,1,7,6,7,5,4,3,1,7,7,10,22.5,3,1,5,3,2,1,53,1,,TEXT,TEXT,3,7,10,"Sollicitudin suscipit rutrum elementum urna? Dictumst, erat integer arcu ab dolor.",199
2024-03-08 11:35:29,2024-03-08 11:35:29,2,,100,0,1,2024-03-08 11:35:29,R_9sFHFnN5ZDHwPgq,,,,,,,test,,1,2,1.17,5.15,3.38,11,7,3,1,4,2,2,1,1,6,4,5,6,2,1,3,3,6,4,1,6,7,3,5,5,3,3,5,5,3,4,6,4,6,6,7,5,4,3,2,7,11.25,18.75,2,3,3,1,2,5,90,5,,TEXT,TEXT,2,5,9,"Malesuada? Molestie eget sagittis etiam facilisi augue? Gravida tempor porta eu, turpis.",199
