StartDate,EndDate,Status,IPAddress,Progress,Duration__in_seconds,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,IC,AgeG,Timer_1_Vignette_First_Click,Timer_1_Vignette_Last_Click,Timer_1_Vignette_Page_Submit,Timer_1_Vignette_Click_Count,AC1,Ch_LoEf_1,Ch_LoEf_2,Ch_LoEf_3,Ch_LoEf_4,Ch_LoEf_5,Ch_LoEf_6,Ch_LoEf_7,Ch_LoEf_8,Ch_LoEf_9,Ch_LoEf_10,Ch_LoEf_11,Ch_LoEf_12,Ch_LoEf_13,Ch_LoEf_14,Ch_LoEf_15,Ch_HiEf_1,Ch_HiEf_2,Ch_HiEf_3,Ch_HiEf_4,Ch_HiEf_5,Ch_HiEf_6,Ch_HiEf_7,Ch_HiEf_8,Ch_HiEf_9,Ch_HiEf_10,Ch_HiEf_11,Ch_HiEf_12,Ch_HiEf_13,Ch_HiEf_14,Ch_HiEf_15,Ef_LoEf,Ef_HiEf,Qu_LoEf,Qu_HiEf,Dif_LoEf,Dif_HiEf,Val_LoEf,Val_HiEf,AC2,Sal_LoEf_1,Sal_HiEf_1,FW1,FW2,FW3,FW4,FW5,FW6,Age,Gen,Gen_3_TEXT,Nat,Cou,Lan,Edu,Lad,FB,SC0
2024-03-08 16:02:40,2024-03-08 16:02:41,2,,100,1,1,2024-03-08 16:02:41,R_39qZYVSdlP5hYWO,,,,,,,test,,1,3,3.63,5.51,9.66,32,1,2,6,7,2,2,3,6,4,5,7,2,1,4,7,2,1,7,3,5,7,4,2,2,6,5,1,6,5,4,4,5,1,3,4,1,7,3,2,4,15,7,3,4,7,2,7,2,101,2,,TEXT,1,4,6,9,Integer proin montes laoreet nulla nulla quam venenatis? Vestibulum proin.,203
2024-03-08 16:02:42,2024-03-08 16:02:42,2,,100,0,1,2024-03-08 16:02:42,R_5cCbFICVtwtEYxo,,,,,,,test,,1,2,8.6,9.94,9.49,28,5,7,7,1,3,1,3,3,1,1,5,3,5,2,7,2,7,4,1,2,1,4,1,5,7,1,6,1,4,4,2,3,2,7,7,5,5,6,1,7,17,7,3,2,2,3,3,2,117,1,,TEXT,1,1,4,1,"Dui metus. Pellentesque praesent per. Culpa, magnis mi vel dictumst magna, natoque.",174
2024-03-08 16:02:42,2024-03-08 16:02:42,2,,100,0,1,2024-03-08 16:02:42,R_0ijSHmQvPFZXxfo,,,,,,,test,,1,4,6.99,8.03,8.97,38,7,1,7,6,3,4,3,5,4,6,6,4,6,3,2,6,7,5,7,4,5,1,7,1,7,7,5,7,5,5,6,1,1,2,6,5,1,6,5,2,14,17,7,5,6,6,1,6,57,4,,TEXT,1,4,4,2,Vehicula eget tempora suscipit posuere tincidunt leo turpis. Mattis mattis id sollicitudin! Eu sed euismod.,231
2024-03-08 16:02:42,2024-03-08 16:02:42,2,,100,0,1,2024-03-08 16:02:42,R_9KVGNGLZpDXhFI2,,,,,,,test,,1,3,5.04,9.46,5.14,26,2,3,2,1,1,1,6,2,6,5,5,7,2,1,7,4,7,5,1,4,1,2,2,2,6,5,5,1,7,5,1,7,2,3,7,6,2,7,3,6,7,10,4,3,1,5,2,4,119,2,,TEXT,1,3,5,5,"Volutpat rutrum aliquam, sit malesuada. Venenatis, arcu accusamus ab viverra.",190
2024-03-08 16:02:42,2024-03-08 16:02:42,2,,100,0,1,2024-03-08 16:02:42,R_5v9zZwQWlwEoRiC,,,,,,,test,,1,2,9.36,9.67,9.41,39,4,5,4,6,6,2,7,7,2,5,7,4,2,1,7,2,1,1,1,4,6,4,3,1,1,4,7,3,7,4,7,4,3,3,3,7,1,5,1,3,8,6,6,5,5,6,2,7,58,4,,TEXT,1,2,6,10,Aliquet ultricies dolor fringilla in. Leo! Wisi! Consectetuer bibendum! Facilisis lacus enim. Odio.,211
2024-03-08 16:02:43,2024-03-08 16:02:43,2,,100,0,1,2024-03-08 16:02:43,R_0rDqDj2MXmnHGHI,,,,,,,test,,1,3,9.65,9.83,9.78,41,6,5,7,1,6,2,4,5,6,2,4,2,3,4,5,2,3,6,5,7,7,1,6,5,4,4,1,2,6,7,5,1,6,4,4,7,1,4,6,4,7,16,7,4,1,5,1,1,64,3,Dignissim tempor pede? Vestibulum elit dolor commodo convallis elit massa arcu vulputate molestie.,TEXT,2,4,4,8,"Nunc nunc. Orci. Nibh venenatis nulla nonummy dui! Bibendum! Porttitor justo culpa! Sapien dapibus, tellus.",212
2024-03-08 16:02:43,2024-03-08 16:02:43,2,,100,0,1,2024-03-08 16:02:43,R_0Cz7v476NSvwX8a,,,,,,,test,,1,4,5.16,9.27,5.83,29,4,3,1,7,3,5,5,6,7,2,2,7,6,5,6,1,3,4,4,2,6,1,6,2,7,6,6,3,5,1,3,2,3,2,5,3,7,3,3,6,14,14,7,3,2,3,7,3,84,1,,TEXT,1,2,4,5,Eget duis facilisi blandit viverra vestibulum phasellus eros elit porta consequat est fusce dui donec.,205
2024-03-08 16:02:43,2024-03-08 16:02:43,2,,100,0,1,2024-03-08 16:02:43,R_eMbBH4oaNoC32QK,,,,,,,test,,1,1,9.31,9.63,9.84,43,5,4,3,2,3,2,6,4,4,2,4,7,4,7,1,6,1,3,7,7,1,7,4,3,6,7,6,5,4,3,7,7,7,7,5,3,3,5,4,2,7,15,1,7,1,7,7,2,40,4,,TEXT,1,1,6,8,Est natoque. Facilisi aliquam sapien. Gravida gravida! Non. Fringilla mattis pharetra pede.,224
2024-03-08 16:02:43,2024-03-08 16:02:43,2,,100,0,1,2024-03-08 16:02:44,R_6mT5X7aSgQbsGCG,,,,,,,test,,1,2,7.56,9.51,9.9,37,2,4,2,4,7,7,2,3,2,7,4,4,3,5,6,4,4,7,3,3,1,3,3,1,4,3,7,1,1,3,7,1,5,4,4,5,4,1,6,5,15,11,2,3,4,7,4,5,90,4,,TEXT,2,4,9,3,Risus justo. Dolorem platea nunc ridiculus! Vulputate urna integer mauris temporibus? Lacus leo.,200
2024-03-08 16:02:44,2024-03-08 16:02:44,2,,100,0,1,2024-03-08 16:02:44,R_bwulDxy7OtkchQW,,,,,,,test,,1,2,6.94,8.95,7.99,23,3,6,2,3,6,2,3,6,6,5,7,1,5,5,3,6,5,1,5,5,1,2,4,2,2,2,2,6,5,2,7,1,6,2,6,7,2,6,5,6,16,15,6,5,5,4,1,2,67,2,,TEXT,1,1,1,7,Ac duis consequat gravida sollicitudin eleifend? Cursus consequat luctus volutpat.,198
